index,MainID,OtherID,RA,DEC,X_mos,Y_mos,mag130,dmag130,mag139, dmag139,color,dcolor,Delta130,Delta139,Nr_IR
635,978,1925-2019,83.93286938,-5.5247969,1549.264576,6066.857562,17.8355,0.0191159,17.5685,0.00807577,0.262814,0.0302047,0.0569553,0.0277119,3
636,979,1702-1926,83.92503671,-5.533389658,1768.173058,5825.715954,17.8723,0.0180335,17.6981,0.052174,0.170284,0.0395396,0.0496712,0.168825,3
637,980,-,83.93566948,-5.512285386,1470.930764,6418.037612,17.9365,0.0190639,17.6345,0.0974523,0.250232,0.0350271,0.0269604,0.193497,1
638,983,1928-2020,83.92526672,-5.526567706,1761.696038,6017.208533,18.6596,0.0197452,18.4463,0.0215799,0.222849,0.0582921,0.0550003,0.0552483,3
639,984,2021,83.93445737,-5.51404245,1504.811656,6368.725874,18.91,0.0797897,18.4619,0.0495567,0.385681,0.0214648,0.192589,0.123388,2
640,985,1930-2025,83.93124937,-5.521993437,1594.506097,6145.564234,19.027,0.0430206,19.5205,0.0151486,-0.490548,0.048416,0.119196,0.0400009,3
641,986,1933-2027,83.93949734,-5.528652454,1364.11025,5958.5781,19.573,0.0323393,19.1855,0.0138558,0.406243,0.0280845,0.0960522,0.0380917,3
642,987,1936-2028,83.9328999,-5.521240865,1548.384092,6166.676327,19.7876,0.169826,19.6817,0.0210456,0.107319,0.173888,0.450033,0.0597782,3
643,990,1943-2029,83.93674177,-5.528664767,1441.100767,5958.254695,20.5129,0.107298,20.0913,0.00852862,0.40355,0.115559,0.323,0.0211525,3
644,993,-,83.93912585,-5.46962904,1374.013415,7615.386551,11.5415,0.0104329,11.3663,0.0242434,0.15486,9.31E-05,0.0147543,0.0489845,1
645,994,-,83.93991364,-5.473021647,1352.028001,7520.148711,12.0786,0.0139772,12.0129,0.0248058,0.044858,0.00427133,0.0197668,0.050622,1
646,995,-,83.9448011,-5.471230126,1215.445367,7570.397269,15.6764,0.0335502,15.5397,0.0308121,0.121005,0.00366711,0.0474472,0.0745497,1
647,998,-,83.93506964,-5.471198239,1487.366885,7571.370849,18.3963,0.0415318,18.3636,0.331303,0.0880899,0.273445,0.0587349,0.663515,1
648,999,-,83.93890271,-5.481602255,1380.345027,7279.296599,19.0118,0.160088,18.4996,0.0263826,0.537549,0.0994328,0.226398,0.0521564,1
649,1000,-,83.93640366,-5.477187025,1450.138551,7403.253348,19.0101,0.147369,18.713,0.00532825,0.1988,0.284979,0.271341,0.0100651,1
650,1001,-,83.94135084,-5.487838657,1311.990202,7104.219086,19.4252,0.23168,19.0904,0.000888794,0.334807,0.230791,0.327644,0.00125694,1
651,1002,-,83.94009555,-5.468623589,1346.909297,7643.602059,19.1299,0.374822,19.543,0.00282822,-0.095178,0.294349,0.737074,0.00399971,1
652,1003,-,83.94182456,-5.487897412,1298.754106,7102.565946,19.7137,0.140436,19.2251,0.00120304,0.488547,0.139233,0.198606,0.00170135,1
653,1005,-,83.94285282,-5.482694633,1269.979806,7248.601115,20.1834,0.063018,20.038,0.0298157,0.029623,0.178284,0.0891209,0.0558624,1
654,1008,-,83.95547855,-5.477973367,917.1494711,7381.021098,20.7687,0.253539,19.9931,0.0295594,0.775622,0.22398,0.358559,0.0418034,1
655,1010,-,83.93125647,-5.469069166,1593.900097,7631.164104,20.8796,0.45306,20.9535,0.0798889,0.535419,1.08781,0.640724,0.11298,1
656,1011,-,83.64143974,-5.473511412,9692.065497,7506.737234,10.0015,0.00977335,10.0709,0.0124235,-0.0694714,0.0221969,0.0138216,0.0175695,1
657,1012,-,83.63039172,-5.481928029,10000.7194,7270.413577,11.7487,0.0230797,11.7175,0.0209684,0.031196,0.00211647,0.0457344,0.0415115,1
658,1013,1081,83.63200885,-5.474156899,9955.582464,7488.561354,12.616,0.00887746,12.4605,0.0243292,0.142468,0.00829297,0.0193396,0.0582809,2
659,1014,-,83.64190052,-5.473837328,9679.188339,7497.591368,12.9303,0.167915,12.768,0.175342,0.169817,0.0141182,0.237468,0.247971,1
660,1015,1137,83.64888797,-5.486977531,9483.870759,7128.782146,15.4655,0.00909098,15.1091,0.0335969,0.345164,0.00479718,0.0207329,0.0771799,2
661,1016,1138,83.64390826,-5.489667511,9622.996809,7053.245898,16.153,0.0082029,15.8073,0.0111763,0.350582,0.00737839,0.017868,0.0234623,2
662,1017,1141,83.64327726,-5.493482514,9640.606112,6946.154225,17.0761,0.0412516,16.7744,0.0200955,0.324155,0.0183547,0.111971,0.0494328,2
663,1018,1139,83.64255167,-5.489783595,9660.901517,7049.97958,16.4104,0.0119467,16.1163,0.0115718,0.305341,0.0172696,0.0240002,0.0282669,2
664,1019,-,83.63814037,-5.47426457,9784.253038,7485.576465,16.4004,0.022531,16.4478,0.0194191,-0.0473817,0.00553536,0.0449104,0.0384731,1
665,1020,-,83.64015539,-5.474936875,9727.944801,7466.716635,16.6531,0.00867079,16.227,0.0454827,0.388986,0.0224694,0.0122623,0.0889492,1
666,1021,1067,83.62015865,-5.496923481,10286.54892,6849.419937,17.8613,0.0388701,17.6428,0.0225306,0.237109,0.0635974,0.100071,0.0450039,2
667,1022,1142,83.63307231,-5.491806906,9925.757061,6993.127852,18.0648,0.0143983,17.7738,0.0233065,0.280352,0.0659895,0.0285473,0.0610218,2
668,1023,1068-1086,83.61808679,-5.48040813,10344.55384,7312.996033,18.2544,0.0230257,17.9767,0.019409,0.289159,0.0326359,0.0593853,0.054554,3
669,1024,-,83.64548861,-5.493690504,9578.816629,6940.328484,18.5549,0.015417,18.3113,0.00123541,0.254327,0.00095353,0.0218029,0.00174713,1
670,1025,1045-1069-1089,83.60975629,-5.488587199,10577.2652,7083.348104,19.3908,0.0360409,19.1884,0.0445641,0.225153,0.0332919,0.104628,0.125999,4
671,1026,-,83.63181094,-5.496172406,9960.974001,6870.579251,19.935,0.0721932,19.6437,0.0193093,0.291396,0.0528838,0.102097,0.0273075,1
672,1027,1092,83.62149049,-5.48291692,10249.43037,7242.596876,19.3789,0.594813,19.7119,0.0421256,-0.254041,0.622732,1.58721,0.106001,2
673,1028,1094,83.61820665,-5.478119054,10341.22056,7377.251829,19.9398,0.058751,19.8985,0.0167977,0.0367432,0.0741899,0.124166,0.0402203,2
674,1029,1071,83.62813586,-5.499548094,10063.63863,6775.799381,20.7484,0.112269,20.155,0.112134,0.528898,0.100456,0.233805,0.291344,2
675,1030,-,83.63369929,-5.483914637,9908.287135,7214.669705,20.848,0.363485,20.1867,0.00661267,40.1083,56.1566,0.514046,0.00935173,1
676,1031,-,83.63498571,-5.499377856,9872.247181,6780.621188,20.3727,0.0145902,20.2511,0.0142328,0.121619,0.028823,0.0206337,0.0201283,1
677,1032,1074,83.61661212,-5.502228425,10385.60649,6700.484168,21.0199,0.0566922,20.7393,0.0472855,0.417795,0.47975,0.113258,0.104,2
